CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year,Founders,Investor,Founded
Signzy,AI platform,,3000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",2015.0
KopyKitab,EdTech,,,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020,"Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",2013.0
Kyt,EdTech,,2500000.0,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,2020.0
Raskik,Fusion beverages,Pre-series A,1000000.0,,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",2019.0
GetWork,HR Tech,Pre-seed,40000.0,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,Rahul Veerwal,India Accelerator,2019.0
Mobile Premier League (MPL),Gaming,Series B,500000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",2018.0
Pravasirojgar,Job portal,,33000000.0,,Initiative for blue-collar job workers,2020,Sonu Sood,GoodWorker.,2020.0
Omatra Hotels,Hospitality,Seed,,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,2017.0
Awign,Job portal,Pre-series B,,Bangalore,Operations and manpower outsourcing startup,2020,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",2016.0
NewsReach,Digital Media,Seed,1500000.0,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",2018.0
Cashfree,FinTech,Series B,35000000.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",2015.0
Credgenics,FinTech,Pre-series A,3000000.0,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",2018.0
GeoIQ,AI startup,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",2018.0
Country Delight,Dairy startup,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",2015.0
Quintype,Content management,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,Chirdeep Shetty,IIFL AMC,2014.0
CARS24,Retail,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,2020,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",2015.0
Astrogate Labs,Spacetech,,,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2020,,"Venture Catalysts, Speciale Invest",2017.0
Power Gummies,HealthTech,Bridge,,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,Divij Bajaj,Venture Catalysts,2018.0
Cityflo,Transportation,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",2015.0
AlgoBulls,Trading platform,,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,2019.0
Credgenics,FinTech,Pre-series A,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",2018.0
Inntot,Tech company,,,Kerala,"Inntot Technologies, is a technology driven company.",2020,Rajith Nair,Unicorn India Ventures,2014.0
Ensuredit,FinTech,Pre-series A,300000.0,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,2019.0
Shipsy,AI Company,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",2015.0
ERPNext,Tech company,,1000000.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,Rushabh Mehta,Rainmatter,2008.0
LightSpeedAI,Photonics startup,,,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,"Rohin Y, PV Ramana","YourNest, growX ventures",2019.0
Grip Invest,FinTech,Pre-series A,,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,2020.0
Unacademy,EdTech,,,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",2015.0
Yellow Classes,EdTech,Pre-series A,1300000.0,Gurugram,New-age fun-learning platform for kids.,2020,"Arpit Mittal, Anshul Gupta",India Quotient,2020.0
Plum,HealthTech,,4100000.0,Bangalore,High quality health insurance and health benefits,2020,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",2019.0
STAGE,Entertainment,,1000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,2019.0
Nykaa,Cosmetics,,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,Falguni Nayar,"Alia Bhatt, Katrina Kaif",2012.0
Kaagaz Scanner,Scanning app,,575000.0,,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,2020.0
NIRA,FinTech,,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",2017.0
Prolixr,Skincare startup,Seed,,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",2018.0
Byju's,EdTech,,200000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",2011.0
DaMENSCH,E-commerce,,6000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",2018.0
Country Delight,Food and Beverages,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",2015.0
SignalX,AI startup,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",2018.0
Lancify,EdTech,,300000.0,Bangalore,Lancify is building the world's strongest young workforce,2020,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",2018.0
Krimanshi,Biotechnology company,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",2015.0
Instoried,AI startup,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",2018.0
PlayerzPot,Gaming startup,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,"Yogesh, Mitesh Gangar",,2015.0
Instamojo,FinTech,,,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",2012.0
Turtlemint,HealthTech,,30000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",2015.0
Arata,E-commerce,Pre-series A,1000000.0,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,2017.0
MPL,Gaming startup,,5000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",2018.0
True Balance,FinTech,,28000000.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",2014.0
Thrive,FoodTech,Pre-series A,,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,"Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital",2020.0
Kitchens Centre,Proptech,Pre-series A,,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,Lakshay Jain,"Jonathan Swanson, Ankush Gera",2019.0
Prescribe,HealthTech,,100000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,Nived Narayanan,Titan Capital,2019.0
Nepra,CleanTech,Series C,18000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",2006.0
inFeedo,SaaS startup,,3200000.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,Tanmaya Jain,"Peyush Bansal, Ritesh Malik",2013.0
Shilpa Sciences,HealthTech,Pre-series A,,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,Ashwin Lal,AngelList India,2014.0
Arzooo,Tech Startup,,,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",2016.0
MindTickle,SaaS platform,Debt,100000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",2011.0
Krimanshi,Biotechnology company,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",2015.0
Slice,FinTech,Debt,5000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",2016.0
Rapawalk,E-commerce,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",2017.0
Oga Fit's,Fitness startup,Pre-series A,,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,Ashish Rawat,9Unicorns,2017.0
LAVAL,Cosmetics,Pre-series A,,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020,"Shrishti, Prithika",Jazal Group,2016.0
Stride Ventures,Venture capitalist,,80000000.0,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,Ishpreet Gandhi,Small Industries Development Bank of India,2019.0
BlackSoil,FinTech,,10000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,Ankur Bansal,,2016.0
Biocon,Healthcare,,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,Kiran Mazumdar-Shaw,Goldman Sachs,1978.0
Clientjoy,SaaS startup,Pre-series A,800000.0,Gujarat,Client Management Software For Modern Agencies.,2020,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",2013.0
Xpressbees,E-commerce,,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",2015.0
GalaxyCard,FinTech,Seed,,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,"Amit Kumar, Gunjeet Singh",India Accelerator,2017.0
Wellness Forever,HealthTech,,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",2008.0
MoooFarm,AgriTech,Pre-seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",2019.0
BitClass,PaaS startup,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2020.0
Gonuts,Entertainment,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",2020.0
Uolo,EdTech,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2013.0
Kirana King,Retail,Pre-series A,900000.0,"Jaipur, Rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,Anup Kumar,Rajasthan Venture Capital Fund,2014.0
Jade Forest,Beverages,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,"Punweet Singh, Shuchir Suri",,
iKure,HealthTech,,,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",2010.0
FrontRow,EdTech,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",2020,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",
Reliance Retail,E-commerce,,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",2006.0
TUBBR,Social Media,,,"Frisco, Texas, United States",World's First Personal Social Network,2020,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,2019.0
Ather Energy,Automobiles,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,2013.0
Routematic,SaaS startup,,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",2007.0
LivFin,FinTech,,4700000.0,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,Rakesh Malhotra,"DEG, KFW DEG",2017.0
Universal Sportsbiz Pvt Ltd,Fashion startup,,,Bangalore,A fashion startup based in Bengaluru.,2020,Anjana Reddy,"Accel, Alteria Capital",2012.0
Lattu Kids,EdTech,,,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,Vivek Bhutyani,Mumbai Angels Network,2017.0
Eggoz,Food & Bevarages,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",2016.0
Steradian Semiconductors,Deeptech,,,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.,2016.0
CHARGE+ZONE,EV startup,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,2018.0
Stones2milestones,EdTech,Bridge,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2008.0
Udacity,EdTech,Debt,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",2011.0
AjnaLens,AR/VR startup,Bridge,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",2014.0
Gully Network,E-commerce,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",2019.0
TurboHire,Recruitment startup,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",2018.0
Traya,HealthTech,Seed,,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital",
Charcoal Eats,QSR startup,,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments,2015.0
Mitron TV,Video platform,,,Bangalore,Mitron is a free short videoplatform for next generation,2020,"Shivank Agarwal, Anish Khandelwal",9Unicorns,2020.0
Svami,Food & Bevarages,,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,Sahil Jatana,"Niren Shah, Rukam Capital Trust",2016.0
Dhurnia,EdTech,,100000.0,"Dhingsara, Haryana",Developer of an online learning platform intended for various competitive exam preparations.,2020,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",2018.0
Expertrons,EdTech,,,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly",2019.0
Leena AI,AI startup,,8000000.0,"New York, United States",Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",2015.0
Bizlog,Logistics,,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,2016.0
Tamasha.live,Gaming,,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,"Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",2020.0
Fedo,AI startup,,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,2017.0
FabHotels,Hospitality,,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",2015.0
Freshokartz,AgriTech,Pre-series A,1000000.0,"Jaipur, Rajastan","Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",2016.0
FlexiLoans,FinTech,Debt,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,2016.0
Agrix,AgriTech,,,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,"Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,2020.0
BharatAgri,AgriTech,Pre-series A,,Pune,A Smart Farming Technology Platform for Indian Farmers,2020,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",2017.0
FreshtoHome,E-commerce,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,Shan Kadavil,"Ascent Capital, Iron Pillar",2015.0
Credable,FinTech,,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,Nirav Choksi,Oaks Asset Management,2017.0
Railofy,Transportation,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",2019.0
Finova Capital,FinTech,,55000000.0,"Jaipur, Rajastan",Finova Capital is a non-banking financial company.,2020,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",2016.0
Teachmint,Edtech,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,2020.0
Peel-Works,E-commerce,,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",2010.0
Janani,Fertility tech,Pre-seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,Nilay Mehrotra,9Unicorns,2020.0
Credgenics,FinTech,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",2018.0
Finelistings,Luxury car startup,,,New Delhi,A Used Luxury Car Marketplace,2020,Aneesh Mathur,Justdial,2015.0
Wellversed,Healthcare,Pre-series A,,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",2018.0
Nykaa,Cosmetics,,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,Falguni Nayar,"Alia Bhatt, Katrina Kaif",2012.0
Jumbotail,E-commerce,Series B2,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,"Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),2015.0
Winzo,Gaming startup,,2000000.0,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",2018.0
mCaffeine,Cosmetics,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",2015.0
Pocket FM,FM,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,Rohan Nayak,"Times Group, Lightspeed",2018.0
Snackible,Healthcare,Bridge,,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020,,"Mumbai Angels, Murali Nair",2015.0
FreshtoHome,E-commerce,,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,Shan Kadavil,"Ascent Capital, Iron Pillar",2015.0
Jumbotail,Retail,Series B2,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",2015.0
Nykaa,E-commerce,,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,Falguni Nayar,"Katrina Kaif, Steadview Capital",2012.0
TagZ Foods,Food,,,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020,"Sagar Bhalotia, Anish Basu Roy","Exfinity Venture Partners, Shesh Kondi",2019.0
Genius Teacher,Edtech,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,"Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",2016.0
Krimanshi Feeds,Nutrition sector,,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",2015.0
Origo,AgriTech,Debt,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020,"Sunoor Kaul,",Northern Arc Capital,2010.0
GetVantage,FinTech,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",2019.0
Betterplace,Tech platform,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures,2015.0
Biddano,Healthcare,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,Talha Shaikh,Windrose Capital,2016.0
InVideo,Video,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",2017.0
Arzooo,Retail Tech,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",2016.0
Hubilo,Tech company,Seed,4500000.0,"San Francisco, California, United States",World’s smartest virtual event platform that brings Experience & Intelligence together,2020,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",2020.0
BASIC Home Loan,FinTech,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020,Atul Monga,Picus Capital,2020.0
Ketos,AI startup,,18000000.0,"San Francisco, United States",KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,Meena Sankaran,"Citi Ventures, Illuminated Funds Group",2015.0
SUGAR cosmetics,Cosmetics,Debt,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd",2012.0
