CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year
BigHaat,Agritech,Pre Series A,2000000.0,Bangalore,Agri-inputs ecommerce player,2020
CityCash,Fintech,Seed round,1000000.0,Mumbai,Focusses on creating a transit led micro-payments ecosystem,2020
HomeLane,Interior design,Series D,1000000.0,Chennai,Provides interior designing solutions,2020
HungerBox,Foodtech,Series C,6700000.0,Bangalore,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",2020
DaveAI,AI,,,Bangalore,Sales augmentation platform with a vision to democratise AI for enterprises,2020
Eduvanz,Fintech,Series A,5000000.0,Mumbai,Digital finance NBFC that provides affordable education loans,2020
ZipLoan,Fintech,,2000000.0,Delhi,Provides loans to MSMEs,2020
DocSumo,AI,Seed round,220000.0,Mumbai,Platform helps to automate and analyse financial data,2020
CUSMAT,AR/VR,,,Warangal,It builds high immersion training systems for enterprises,2020
Chingari,Media,Seed round,1300000.0,Bangalore,Short video platform,2020
Bolo Indya,Media,Pre series A1,300000.0,Gurugram,User-generated content platform,2020
Data Sutram,AI,,266500.0,Kolkata,Platform gathers intel from external data to provide location-based data intelligence.,2020
Wobot Intelligence,AI,Pre Series A,2500000.0,Delhi,AI backed video analytics platform,2020
DrinkPrime,Appliance,Pre Series A,2879000.0,Bangalore,Subscription-based Water purifier startup,2020
Infeedo,HR tech,,700000.0,Gurugram,An employee engagement HR analytics platform,2020
Probus Smart Things,IoT,Seed round,,Delhi,Platform for monitoring distribution sub-station performance and operations,2020
CrowdPouch,Tech,Angel Round,,Bangalore,A reward-based fundraising and preselling platform,2020
Rebel Foods,Food tech,Series E2,26500000.0,Mumbai,Cloud kitchen platform,2020
Hevo,Tech,Series A,8000000.0,Bangalore,Data pipeline startup,2020
BigSpoon Foods,Foodtech,Pre series A,2000000.0,Ahmedabad,Cloud kitchen startup,2020
Chingari,Media,Seed Round,1000000.0,Bangalore,Homegrown short video platform,2020
ShareChat,Media,,351000.0,Bangalore,Indian social network platform,2020
DatStop,Hospitality,,,Delhi,It offers urban social space,2020
IPHM Services,Mental Health,Seed Round,,Mumbai,It helps design programs and workshops for the psychological well-being of individuals,2020
Wellcure,Healthtech,,200000.0,Gurugram,It caters to all health and wellness needs,2020
VilCart,Ecommerce,Bridge Round,,Bangalore,"Retail industry in rural India through technology, supply chain, and logistics facilities.",2020
Firescore,Gaming,,500000.0,Mumbai,Game development studio,2020
BulBul,Social commerce,,,Gurgaon,A video and livestream led commerce platform that makes online shopping engaging,2020
Toppr,Edtech,Series D,46761000.0,Mumbai,It provides AI-based after school learning app for K12,2020
Pickright Technologies,Fintech,Seed Round,175000.0,Bangalore,Marketplace for stock market investors and advisors,2020
Muse Wearables,Tech,,3000000.0,Chennai,It sells the world’s first payment-enabled hybrid smartwatches,2020
SATYA Microcapital,Fintech,,,Delhi,Microfinance company that offers collateral-free credit to micro enterprises,2020
WYN Studio,Media,Seed Round,,Gurugram,It creates video content and podcasts,2020
Fourth Partner Energy,Solar Solution,,15000000.0,Bangalore,Largest startup in the distributed solar sector,2020
Entri,Edtech,Pre series A,1700000.0,Kochi,Local language learning startup,2020
Snack Amor,Foodtech,,,Mumbai,Healthy snack startup,2020
MPowered,SaaS,Pre series A,21000000.0,Gurugram,Asset Management Solutions,2020
Leap Club,Social e-commerce,,,Gurugram,Community led professional network for women,2020
Ather Energy,Automobile,Series C,11241000.0,Bangalore,Electric scooter manufacturer,2020
Gigforce,HR tech,,804000.0,Bangalore,Provides staffing solutions for businesses,2020
Vegrow,Agritech,Seed Round,2500000.0,Bangalore,It is building an asset-light farm by partnering with small farms on a profit-sharing model,2020
Finn,Fintech,Pre series A,,Bangalore,Neobanking startup that digitises all banking transactions,2020
Bijnis,B2B marketplace,Series A,10000000.0,,Provides a platform for manufacturers and retailers in digital transaction,2020
iNurture,Edtech,,1340000.0,Bangalore,"It provides a conducive and healthy teaching, learning environment",2020
StyleDotMe,Fashion Tech,Pre series A,467000.0,Gurugram,"mirrAR, helps jewellers sell jewellery with no physical inventory",2020
Ripsey,Nutrition tech,,133000.0,Mumbai,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,2020
ThriveFNC,Health & Wellness,Seed Round,,Pune,Focusses on reversing chronic lifestyle disorders through functional nutrition.,2020
Vedantu,Edtech,Series D,100000000.0,Bangalore,Onine learning platform,2020
Magicpin,,Series D,7000000.0,Gurugram,"It is a local discovery, rewards, and commerce platform",2020
Procol,Agritech,,3823000.0,Delhi,Commodity procurement platform,2020
Yumlane,Cloud Kitchen,Pre series A,1000000.0,Mumbai,Online retailer that offers a range of on-the-go hot snacking and meals,2020
Crio,Edtech,,934000.0,Bangalore,A learning platform for developers,2020
Openapp,IoT,,500000.0,Bangalore,Security solutions startup,2020
PumPumPum,IoT/Automobile,,293000.0,Gurugram,Offers leased car services,2020
uFony Services Pvt ltd,Edtech,,,Pune,"School Diary, a platform that brings education to smartphones",2020
Protinus Fashion Networking Pvt Ltd,Fashion,Pre series A,,Mumbai,Owns and operates fashion commerce and retail management platform 6Degree,2020
Uable,Edtech,Seed Round,,Bangalore,Online life skills development platform for children,2020
ParkSmart,IoT,,198000.0,Delhi,Parking spot reservation platform,2020
Plum,Healthtech,Seed Round,927000.0,Bangalore,Provides health benefits to corporates,2020
IncNut Digital,Ecommerce,Series A,4000000.0,Hyderabad,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,2020
GigIndia,Tech,Pre series A,971000.0,Pune,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,2020
Specsmaker,Eye Wear,,3060000.0,Chennai,Online optical chain for eye wears,2020
Piggy Ride,SaaS,Pre series A,1862000.0,Bangalore,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",2020
Chai Waale,Beverage,,232000.0,Chennai,Tea Brand,2020
NOTO,Food,Pre seed round,,Mumbai,A brand that makes healthy icecream,2020
Cuemath,Edtech,Series B,2888000.0,Bangalore,It helps students to learn math online,2020
Cars24,Automobile,,1328000.0,Gurgaon,Online platform for selling used cars,2020
JetSynthesys,Digital tech,,40000000.0,Pune,Digital entertainment and technology company,2020
Earth Energy EV,Automobile,Seed Round,,Mumbai,Electric vehicles startup,2020
Green Cure,Health & Wellness,,,Delhi,It sells herbal OTC products,2020
Blue Sky Analytics,Data Intelligence,Seed Round,1200000.0,Gurugram,"It is building AI-powered infrastructure to analyse air quality, pollution etc",2020
Edhusk,Edtech,,,Jaipur,Provieds personalised learning to students by leveraging technology-driven models,2020
Decentro,Fintech,Series A,15500000.0,Bangalore,Automated API-based platform that enables financial integrations.,2020
Zolostays,Co-living,Series C,56000000.0,Bangalore,It offers affordable housing apartments to young professionals and students,2020
Frontier Markets,Ecommerce,Pre series A,2250000.0,Jaipur,Women entreprenuers sells products and services to rural India,2020
Brainwired,Agritech,,,Kerala,India’s first livestock health monitoring company,2020
Aye Finance,Fintech,Series E,16753000.0,Gurugram,A finance lender to SMEs,2020
Paper Boat,Food & Beverages,,3700000.0,Gurugram,Ecommerce platform for beverages and snacks,2020
Ken42,Edtech,,1470000.0,Bangalore,A platform that caters to evolving needs of institutions,2020
Forbidden Foods,Food,Seed Round,1000000.0,Delhi,Packaged snacks company,2020
Universal Sportsbiz,Fashion,,530000.0,Bangalore,Indian fashion industry with on-trend products,2020
Gobbly,Retail Tech,Seed Round,500000.0,Gurugram,A contactless retail store filled with fruits and veggies,2020
Aerostrovilos,Automotive,,,Chennai,Manufactures micro gas turbines for power-based application,2020
Mitron,Media,Seed Round,267000.0,Bangalore,Short Video and Social Platform,2020
Bulk MRO,B2B,,3344000.0,Mumbai,A full stack B2B platform for industrial supplies,2020
Inspektlabs,AI,Pre series A,600000.0,Delhi,Focuses on building computer vision products for physical asset inspections,2020
Big Bang Boom Solutions,Defense tech,Series A,1000000.0,Chennai,It developed integrated intellectual properties for defense,2020
Flinto,Edtech,Pre series B,7200000.0,Chennai,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,2020
Zetwerk,Marketplace,Series C,21000000.0,Bangalore,B2B marketplace that connects manufacturing companies for industrial equipements,2020
ChitMonks,Fintech,Pre series A,650000.0,Hyderabad,Offers enterprise private platform for chit fund firms,2020
Walrus,Fintech,Pre-Seed,,Bangalore,It provides banking solutions for teens and young adults,2020
Arth Designbuild,Construction tech,,1100000.0,Hyderebad,Construction technology and solutions provider,2020
goDutch,Fintech,Seed Round,1700000.0,Mumbai,Group Payments platform,2020
Rusk Media,Digital Media,Seed Round,,Delhi,It creates video content,2020
Bold Care,Health & Wellness,Pre-seed Round,,Mumbai,Digital platform that offers sexologist consultations for  men,2020
Samosa Party,Food,,,Bangalore,Provides quality Indian Snacks,2020
High Street Essentials,Ecommerce,Pre series C,2743000.0,New Delhi,The parent company of women's fashion brands FabAlley and Indya,2020
Byju's,Edtech,,,Bangalore,Provides online learning classes,2020
Slice,Fintech,Pre series B,6082000.0,Bangalore,A financial platform for youngsters,2020
Bombay Play,Gaming,Pre series A,1500000.0,Bangalore,It designs and creates online multiplayer games,2020
Fullife,Healthtech,,6609000.0,Mumbai,It sells sports nutrition supplements through a brand called Fast&Up,2020
Oziva,Nutrition,Series A,5000000.0,,Clean Label Active Nutrition Brand,2020
Aye Finance,Fintech,Series E,27700000.0,Gurugram,A finance lender to SMEs,2020
Aether Biomedical,Medtech,Seed Investment,,Delhi,"Medical robotics startup, focussed on developing rehabilitation devices",2020
91springboard,Coworking,,5940000.0,Delhi,It offers collaborative workspace with varied amenities,2020
Yulu,Micro-mobiity,,3964000.0,,The electric and scooter rental startup,2020
Milkbasket,Logistics,,5500000.0,Gurugram,Hyperlocal delivery service startup,2020
MergerDomo,Marketplace,,197000.0,Noida,Global online corporate deal sourcing and consulting marketplace,2020
GoMechanic,Auto-tech,Series B,,Delhi,Find automobile repair and maintenance service providers,2020
Milk Mantra,Food,,10000000.0,Odisha,Produces Dairy Products,2020
Myglamm,Beauty,,4327000.0,Mumbai,On-demand beauty services provider,2020
Drishti Technologies,AI,Series B,25000000.0,Bangalore,"AI-based video analytics, data, and insights bring benefits to manufacturers",2020
Instasolv,Edtech,Pre series A,2000000.0,Noida,It is a doubt-solving app for students from Class 6 to 12,2020
GoldenPi,Fintech,,459000.0,Bangalore,An online aggregator of bonds and debentures available in the secondary market,2020
Peppermint,Robotics,Seed Round,,,Industrial robotics startup,2020
Sarva,Yoga & wellness,,,Mumbai,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2020
Jai Kisan,Fintech,Pre series A,3937000.0,Mumbai,A platform that caters the need of customers in rural areas,2020
Agro2o,Agritech,,,New Delhi,It develops products focused on making hydroponics-based farming,2020
LetsTransport,Logitech,,1313500.0,Bangalore,Offers techno logistics solutions,2020
GabbarDeals,Ecommerce,,,Pune,Online-to-Offline platforms for mobile phones & accessories,2020
Crimson Healthcare,Med Tech,,229800.0,Delhi,It innovates cutting edge solutions for various problems in the healthcare system,2020
Biomoneta,Life sciences,Seed Round,,Bangalore,It develops germicidal technologies,2020
Edvizo,Edtech,Seed Round,150000.0,Bangalore,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",2020
Servify,SaaS,Series C,11370000.0,Mumbai,Operates device management and support platform,2020
Drum Food,Food,,5305000.0,Mumbai,It runs yoghurt brand Epigamia,2020
Innoviti,SaaS,Series C,,Bangalore,Digital payments solutions company,2020
Jiffy ai,AI,Series A,18000000.0,,Enterprise automation startup,2020
Postman,Tech,Series C,150000000.0,,API development platform startup,2020
F5,Retail Aggregator,,,,It provides opportunities for its partner vendors to upsell and cross-sell their products.,2020
Waycool,Agritech,Series C,5500000.0,Chennai,Food development and distribution services,2020
Myelin Foundry,Deep Tech AI,,,,"It builds AI based algorithms on video, voice and sensor",2020
Ameliorate Biotech,Biotech,Angel Round,264000.0,Bangalore,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",2020
Hapramp,Blockchain,,1000000.0,Gurugram,Startup working on technologies like blockchain and social media,2020
MyKaam,HrTech,,,Bangalore,Online job searching and recruiting platform,2020
HealthPlix,Healthtech,Series B,6000000.0,Bangalore,It provides clinical software for doctors,2020
YoloBus,Mobility/Transport,Series A,3300000.0,Gurugram,Intercity bus service startup,2020
iNurture Education,Edtech,,4000000.0,,"It provides a conducive and healthy teaching, learning environment",2020
Pocket52,Gaming,Series A,1750000.0,Bangalore,An online poker playing platform,2020
QuaQua,Travel,,1000000.0,Hyderabad,Virtual travel guide platform,2020
Crofarm,Agritech,,1000000.0,Delhi,Supply chain that supports farmers and provides businesses with freshest produce,2020
Timios,Foodtech,Pre series A,,Bangalore,Provides healthy snacks for kids,2020
Wooden Street,Ecommerce,Series A,3000000.0,Jaipur,It enables to order custom furniture online,2020
BankBazaar,Fintech,Series D1,5967000.0,Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,2020
Rentmojo,Rental,,2980000.0,Bangalore,"Rental platform for furniture, appliances & electronics",2020
Credgencies,AI & Debt,Seed Round,,,Tech-enabled platform for resolution of non-performing assets,2020
Knorish,SaaS/Edtech,Pre series A,323000.0,Delhi,All-in-one knowledge commerce SaaS platform,2020
LetsTransport,Logitech,,1326000.0,Bangalore,Offers techno logistics solutions,2020
Vahak,Transport,Seed Round,,,It enables logistic companies to conncet with transporters,2020
Nutrova,Nutrition,Pre series A,,Mumbai,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",2020
Cube Wealth,SaaS,Mid series,500000.0,Mumbai,A digital wealth management services,2020
IVF Access,Healthtech,Series A,5000000.0,Bangalore,It provdes IVF treatments,2020
Hoi Foods,Foodtech,Pre series A,2000000.0,Delhi,Quality food solution,2020
Ola Financial Services,Fintech,Series A,27000000.0,Bangalore,It operates Ola Money,2020
Awifs,Co-working,,5200000.0,Delhi,Provides office space solutions,2020
Dunzo,Logistics,,55000000.0,Bangalore,India-based hyperlocal delivery startup,2020
Swiflearn,Edtech,Seed Round,,Gurugram,Learning platform for K-10 students looking for personalised learning,2020
Remedo,Healthtech,Pre series A,,Delhi,The platform connects doctors with patients,2020
Blowhorn,Logistics,,,Bangalore,Tech platform that connects logistics service seekers with mini-truck drivers,2020
Toch,AI,Pre series A,1000000.0,Mumbai,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos",2020
Gram Cover,Insurtech,Pre series A,,Noida,It provides insurance products in rural areas,2020
Coin DCX,Cryptocurrency,,2500000.0,Mumbai,Hybrid crypto exchange platform,2020
HomeCapital,Fintech,,,Mumbai,Home Down Payment Assistance Program,2020
Euler Motors,Automotive tech,Series A,2530000.0,Delhi,Startup focusses on electric vehicles,2020
Riskcovry,Insurtech,Pre series A,,Mumbai,Offers various insurance products,2020
NWNT (No Worry No Tension Healthcare),Healthtech,Pre series A,,Delhi,Mental healthtech startup,2020
Voicezen,AI,,,Gurugram,Conversational AI startup,2020
Leap Club,,Pre seed round,340000.0,Gurugram,Community led professional network for women,2020
Credit Mantri,Fintech,,792000.0,Chennai,Offers free credit score and a detailed credit analysis report,2020
Xtracap,Fintech,,1000000.0,Gurugram,"Offers online payment solution,schemes, order management, insurance etc.,",2020
Tring,Media,,,Mumbai,Celebrity engagement platform,2020
Vakilsearch,Legal,,,Chennai,"Online platform for legal, tax and compliance services",2020
Khatabook,Fintech,Series B,60000000.0,Bangalore,It helps SMEs to maintain their accounts and ledger online.,2020
LendingKart,Fintech,Series D,11363000.0,Ahmedabad,Provides working capital loans and business loans to MSMEs,2020
Illumnus,Edtech,Seed Round,100000.0,,Offers Collaborative learning management system for educational institutions,2020
LetsTransport,Logitech,,1715000.0,Bangalore,Offers techno logistics solutions,2020
Eggoz,Agritech,Seed Round,329000.0,Bihar,"Provides technology backed, deep integration services to egg farmers",2020
Winuall,Edtech,,,Bangalore,It helps coaching institutes in digitization,2020
Indian School Finance Company,Fintech,Seed Round,5271000.0,Hyderabad,NBFC that provides funding to education system,2020
Juicy Chemistry,,Series A,650000.0,,It focuses on organic based skincare products,2020
DeepTek,Healthtech,,,Pune,AI enabled radiology platform,2020
Stepathlon Lifestyle,Fitness,,,Mumbai,It organises corporate wellness programs,2020
Sindhuja Microcredit,Fintech,,8700000.0,Noida,It provides financial services to self employed women entrepreneurs,2020
Rentmojo,Rental,,3226000.0,Bangalore,"Rental platform for furniture, appliances & electronics",2020
Tesco Charge Zone,EV,,,Gujarat,Operates electric vehicle charging zone,2020
Intello Labs,"Supply chain, Agritech",Series A,5900000.0,Gurugram,Standardisation and Quality control of fruits & vegetables,2020
SirionLabs,SaaS,Series C,44000000.0,Gurugram,"Provides procurement, outsourcing services & contract management software",2020
Magicpin,,,3879000.0,Gurugram,"It is a local discovery, rewards, and commerce platform",2020
GroCurv,B2B,Seed Round,,Gurugram,"It offers a wide range of business related services like Branding, marketing, sales etc.,",2020
Refrens,SaaS,Seed Round,1000000.0,Bangalore,"Offers a free invoicing, payments and expense management system",2020
Shiprocket,Logitech,Series C,13000000.0,,Tech enabled logistics aggregator,2020
Spyne,AI,Pre series A,,Gurugram,Helps online businesses with visual content,2020
Nykaa,Ecommerce,,8800000.0,Mumbai,Deals in cosmetic and wellness products,2020
Docsapp,Healthtech,,9500000.0,Bangalore,Online doctor consultation app,2020
Phable,Healthtech,Pre series A,1000000.0,,"It creates an engagement loop between doctors, hospitals, and patients via its app",2020
Generic Aadhaar,Pharma,,,,It provides a platform for entrepreneurs to access generic  medicine at low cost,2020
Nium,Fintech,,,,Open global money platform,2020
Mintoak,Fintech,Pre series A,2000000.0,Mumbai,Merchant payment solutions startup,2020
VestSpace,Spacetech,,10000000.0,Pune,It builds small satellite paltforms,2020
Blackbuck,Logistics,,,Bangalore,Provides trucking services,2020
Vernacular ai,AI,Series A,5100000.0,Bangalore,It offers Multiligual AI platform,2020
Clover,Agritech,,920000.0,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2020
Varthana,Fintech,Series D,15000000.0,Bangalore,Offers secured and unsecured loans,2020
Codeninja,SaaS,Seed Round,,Bangalore,AI-powered 'no-code' platform which can generate application development code,2020
MetaMerphoSys,Insurance technology,Pre series A,,Pune,Digital insurance platform for businesses,2020
Rooter,Gaming,Pre series A,1700000.0,Delhi,Live sports engagement platform,2020
Aker Foods,Foodtech & Logistics,,,Pune,Ai driven supply chain platform,2020
Sascan Meditech pvt ltd,Healthtech,,,Kerala,They are developing technology that can detect early cancerous cells,2020
DailyHunt,Media,,35600000.0,,News aggregator,2020
Pratilipi,Media,Series C,9400000.0,Bangalore,A digital platform that connects readers and writers in various languages,2020
Biryani By Kilo,Food,Series B,790000.0,Delhi,Online paltform to order biryani,2020
Consure Medical,Healthtech,,480000.0,Delhi,"Novel platform technologies to manage, diagnose, and treat various GI disorders",2020
Servify,,,250000.0,Mumbai,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,2020
Tessol,Logistics,Series A,160000.0,Mumbai,It provides end to end cold chain logistics solutions,2020
Remedo,Healthtech,Pre series A,,Noida,"It helps doctors engage with patients, improve patient experience",2020
News Reach,Media,,,Ahmedabad,"It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content",2020
RoomSoom,Housing,,,Noida,It provides co-living and student rooms,2020
Pedagogy,Edtech,,400000.0,,It has a single subscription model that allows users to access books and digital courses.,2020
Classplus,Edtech,Series B,8200000.0,Delhi,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",2020
Medlife,Pharmaceutical,,15500000.0,Bangalore,It solves inadequacies in the healthcare delivery system through technology,2020
Qin1,Edtech,,,Noida,It is alearning platform for kids in the age group 5 to 14 yrs,2020
MYSUN,Tech,Pre series A,4257000.0,Delhi,Platform for rooftop solar energy solutions,2020
ShopX,Ecommerce,,1410000.0,Bangalore,B2B retail operating system,2020
Sarva,Yoga & wellness,,,,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2020
Expertrons,AI,Seed Round,,Mumbai,AI video bot platform for career hacks,2020
NewsBytes,Digital Media,Series A,1500000.0,Gurugram,News portal,2020
Wagonfly,,,500000.0,Bangalore,Contactless shopping and delivery experience by using radio frequency to tag retail items,2020
NIRA,Fintech,Pre series A,2100000.0,,It offers access and credit to working Indians,2020
Convosight,Data Analytics,Pre series A,4000000.0,Hyderabad,It helps business gain insights from its community on Facebook groups,2020
Fittr,Fitness,,2000000.0,Pune,Fitness Social Network & Consultation Platform,2020
AsknBid,Investment Tech,,,Bangalore,It builds algorithmic investing-based tech products,2020
Bira91,Beverage,Series C,20000000.0,Bangalore,Craft beer maker,2020
Finaureus Technologies,Fintech,Pre series A,,Pune,Provides investment management solutions,2020
Daily Ninja,Ecommerce,,349800.0,Haryana,Online Milk Delivery startup,2020
Guvi Geek Network Pvt Ltd,Edtech,Pre series A,786000.0,Chennai,Operates vernacular-language based education,2020
LoadShare,Logistics,Series B,2004000.0,Bangalore,Provides technology based solutions to SMEs in logistics,2020
Vedantu,Edtech,Series C,6800000.0,Bangalore,Onine learning platform,2020
Indusface,IT,,5000000.0,,It provides IT security solutions,2020
DMI Group,Financial Services,,123000000.0,Delhi,Pan-India Credit providing platform,2020
Spintly,IoT,Pre series A,248000.0,Goa,It is a wireless cloud-based access control system,2020
Credr,Automobile,,,Mumbai,A marketplace to buy and sell used bikes and scooters,2020
Bijak,Agritech,Series A,12000000.0,Gurugram,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics",2020
Bugworks,Biopharma,,7500000.0,Bangalore,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,2020
DrinkPrime,,Seed Round,,Bangalore,Water purifier subscription service,2020
Yap,Fintech,Series A,4500000.0,Chennai,Banking and payment products-focused API platform,2020
UzhavarBumi,Dairy,,,Tamil Nadu,Provides fresh dairy products,2020
Tattva,Beauty & wellness,,150000.0,Delhi,Sells its organic and beauty products via marketplace,2020
Pariksha,Edtech,Pre series A,,Pune,Platform for vernacular test-preparation,2020
DailyHunt,Media,,24000000.0,,News aggregator,2020
NoBroker,Real Estate,,30000000.0,Bangalore,Online real estate rental startup,2020
Box8,Foodtech,,4000000.0,Mumbai,Enables to order food online,2020
Capital Float,Fintech,,15000000.0,Bangalore,Online platform that provides working capital finance to SMEs,2020
ITILITE,Travel & SaaS,Series B,13000000.0,Bangalore,Platform for business travel,2020
Morning Context,Digital Media,Seed Round,,,A subscription-only digital media publisher,2020
Aavenir,SaaS,Seed Round,2000000.0,Ahmedabad,Source-to-Pay Software,2020
Savvy Co op,Healthcare,,,,It connects patients with healthcare companies,2020
BLive,Tourism & EV,Pre series A,,,"It offers experiential, guided tours on smart electric bikes",2020
Yellow Messenger,AI,Series B,20000000.0,Bangalore,It offers conversational chatbots,2020
Toch,Media Tech,,400000.0,,AI based Video object detection and Tagging platform,2020
Ewar,Gaming,,200000.0,Bangalore,E-sports and real-time gaming startup,2020
Setu,Fintech,Series A,14259000.0,,"Offers open APIs across four categories: bills, savings, credit, and payments.",2020
Wellthy Therapeutics,Healthtech,Pre series A,4000000.0,Bangalore,It offers a digital therapeutics service,2020
Power Gummies,Health,,,Delhi,Offers health supplements related gummies,2020
Locale ai,Location Analytics,,,Bangalore,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,2020
FarEye,Logistics,Series D,24500000.0,Delhi,"It enables businesses to execute, track, predict and oprimize the movements of goods",2020
Rebel Foods,Food tech,,50000000.0,,It runs internet kitchen,2020
BankBazaar,Fintech,Series D,3800000.0,Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,2020
Porter,Logistics,Series D,18370000.0,Mumbai,Logistics and fleet management,2020
SugarBox,Tech,,68525000.0,Mumbai,Hyperlocal data distribution platform,2020
Capital Float,Fintech,Series F,4800000.0,Bangalore,Online platform that provides working capital finance to SMEs,2020
Big Basket,E store,,60000000.0,Bangalore,Online grocery store,2020
Amica,Fintech,,2000000.0,,Neobanking startup,2020
Vedantu,Edtech,Series C,12500000.0,Bangalore,Onine learning platform,2020
Fingerlix,Food,,1834000.0,,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,",2020
Plop,Tech,Angel Round,,Mumbai,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,2020
Zupee,Gaming,Series A,8000000.0,,It runs live quiz tournaments on its app.,2020
DeHaat,Agritech,Series A,12000000.0,,Online marketplace for farming services and products,2020
Lido Learning,Edtech,Series B,7500000.0,Mumbai,Online teaching service,2020
Aye Finance,Fintech,,23850000.0,Gurugram,A finance lender to SMEs,2020
Swiggy,Foodtech,Series A,43000000.0,Bangalore,Platform to order food online from restaurants and getting it delievered,2020
Akna Medical,Healthtech,,7000000.0,,Provides supply solutions for surgical and pharmaceutical products.,2020
Zomato,Foodtech,,5000000.0,Gurugram,Online food delivery and restaurant discovery platform,2020
RaRa Delivery,Logistics,Seed Round,800000.0,,Provides same day delivery service for ecommerce businesses,2020
JusPay,Fintech,Series B,21600000.0,Bangalore,Online payment solutions,2020
Obviously AI,Data Science,,,,It provides predictive insights to clients by leveraging their data,2020
Fingpay,Fintech,Series A,3500000.0,Mumbai,Provides payment solutions,2020
Recko,SaaS,Series A,6000000.0,Bangalore,The platform enables AI-powered reconciliation of digital transactions,2020
Furlenco,Ecommerce,,10000000.0,Bangalore,Furniture rental startup,2020
Mera Cashier,Fintech,,150000.0,Noida,App meant for small and micro businessmen to manage their transactions digitally,2020
Kitchens Centre,,Seed Round,500000.0,Delhi,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,2020
Camp K12,Edtech,Seed Round,4000000.0,Gurugram,It connects students with tutors online,2020
MedGenome,Healthtech,Series D,55000000.0,Bangalore,Genetic diagnostic testing company,2020
Ergos,Agritech,,4598000.0,Bangalore,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,2020
Nykaa,Ecommerce,,13137000.0,Mumbai,Deals in cosmetic and wellness products,2020
Samadhan,Insurance,Seed Round,,Delhi,They help find solutions to insurance related issues,2020
SaScan,Healthcare,,,Bangalore,Cancer diagnostics startup,2020
Lido Learning,Edtech,,3000000.0,Mumbai,Online teaching service,2020
CureFit,Health and Fitness,Series D,115000000.0,Bangalore,"Integrated platform for food, fitness and meditation.",2020
Nimesa,SaaS,,,Bangalore,Cloud data managemnt solutions enterprise,2020
Design X,IoT,Seed Round,200000.0,Noida,Builds IoT based products,2020
Driftly Electric,Automobile,,,Bangalore,Electric vehicle startup,2020
Imstrong,Fitness,Seed Round,400000.0,Bangalore,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,2020
Craftsvilla,Marketplace,,3900000.0,Mumbai,Online marketplace for ethnic wear,2020
Rupifi,Fintech,Pre seed round,,Bangalore,Offers financial products for SMEs,2020
SnackAmor,Food,Seed Round,,Mumbai,It offers various healthy snacks,2020
Zealthy,Healthtech,Seed Round,,Bangalore,"It connects women to healthproviders for specialities like infertility, maternity etc.,",2020
CoinDCX,Fintech,Series A,3000000.0,,A cryptocurrency trading platform,2020
NuNu TV,Media,,670000.0,,Kids-focussed Youtube channel,2020
QTalk,Technology,Seed Round,1600000.0,Bangalore,Smart Phone Dialer,2020
Shadez,Interior & decor,Seed Round,100000.0,Mumbai,Paint Company,2020
Excess2Sell,Ecommerce,,1000000.0,Mumbai,B2B Marketplace for Overstock & Surplus Inventory,2020
Stanplus,Healthtech,Pre series A,1500000.0,Hyderabad,Ambulance service,2020
Pitstop,Automobile,Series A,2500000.0,Bangalore,Doorstep car service,2020
Univariety,Edtech,,1100000.0,Hyderabad,Online marketplace that provides career counselling and college guidance,2020
Peel Works,SaaS,"Series C, D",,Mumbai,E-commerce for corner/retail stores.,2020
CoreStack,Technology,Series A,8500000.0,Chennai,Enterprise cloud governance technology startup,2020
Vivriti Capital,Fintech,Series B,50000000.0,Chennai,Digital lending startup,2020
